Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
Keskvalitsus,Haridus- ja Teadusministeerium,74000381,Eesti Teaduste Akadeemia Underi ja Tuglase Kirjanduskeskus,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,74000547,Eesti Muusika- ja Teatriakadeemia,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,74000624,Eesti Kunstiakadeemia,avalik-õiguslikud asutused,
Keskvalitsus,Kaitseministeerium,74000725,Kaitseliit,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,74001073,Tartu Ülikool,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,74001086,Eesti Maaülikool,avalik-õiguslikud asutused,
Keskvalitsus,Kultuuriministeerium,74001328,Eesti Kultuurkapital,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,74001529,Tallinna Ülikooli Akadeemiline Raamatukogu,avalik-õiguslikud asutused,
Keskvalitsus,Justiits- ja Digiministeerium,74001728,Harju Maakohus,riigi ametiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,74001736,Viru Maakohus,riigi ametiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,74001883,Pärnu Maakohus,riigi ametiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,74001920,Tallinna Halduskohus,riigi ametiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,74001943,Tallinna Ringkonnakohus,riigi ametiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,74001957,Tartu Halduskohus,riigi ametiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,74001966,Tartu Maakohus,riigi ametiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,74001972,Tartu Ringkonnakohus,riigi ametiasutused,
Keskvalitsus,Kultuuriministeerium,74002322,Eesti Rahvusringhääling,avalik-õiguslikud asutused,
Keskvalitsus,Justiits- ja Digiministeerium,74002523,Kohtutäiturite ja Pankrotihaldurite Koda,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75000271,Pärnu Koidula Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75000325,Pärnu Täiskasvanute Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75005067,Valga Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75006189,Kohtla-Järve Täiskasvanute Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75006842,Tartu Tamme Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75008982,Kohtla-Järve Järve Kool,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75012067,Sillamäe Eesti Põhikool,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75024292,Narva Täiskasvanute Kool,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75024366,Narva Eesti Põhikool,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75037920,Sillamäe Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75038150,Jõgevamaa Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75038167,Läänemaa Ühisgümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75038641,Jõhvi Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,75039008,Võru Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77000051,Rapla Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77000068,Viimsi Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77000157,Paide Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Kliimaministeerium,77000387,Eesti Geoloogiateenistus,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77000766,Kohtla-Järve Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,77000826,Patendivolinike Koda,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001240,Tabasalu Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001263,Saaremaa Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001292,Haridus- ja Noorteamet,riigi ametiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001369,Saue Riigigümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001375,Rakvere Riigigümnaasium,hallatavad riigiasutused,
Keskvalitsus,Rahandusministeerium,77001412,Rahapesu Andmebüroo,riigi ametiasutused,
Keskvalitsus,Regionaal- ja Põllumajandusministeerium,77001458,Põllumajandus- ja Toiduamet,riigi ametiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001547,Tallinna Mustamäe Riigigümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001553,Tallinna Pelgulinna Riigigümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001576,Tallinna Muusika- ja Balletikool,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001599,Tallinna Tõnismäe Riigigümnaasium,hallatavad riigiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,77001613,Riigi Info- ja Kommunikatsioonitehnoloogia Keskus,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001694,Rae Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001702,Narva Eesti Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77001719,Narva Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Kliimaministeerium,77001814,Riigilaevastik,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,77002015,Kiviõli Riigikool,hallatavad riigiasutused,Registreeritud 01.09.2024
Keskvalitsus,Haridus- ja Teadusministeerium,80010389,Tallinna Tehnikaülikooli Kultuurikeskus,mittetulundusühingud,
Keskvalitsus,Haridus- ja Teadusministeerium,80011466,Tallinna Tehnikaülikooli Spordiklubi,mittetulundusühingud,
Muu avalik sektor,Haridus- ja Teadusministeerium,80012342,Tartu Üliõpilasküla,mittetulundusühingud,
Keskvalitsus,Haridus- ja Teadusministeerium,80037537,Eesti Maaülikooli Spordiklubi,mittetulundusühingud,
Keskvalitsus,Haridus- ja Teadusministeerium,80072321,Mittetulundusühing Tartu Ülikooli Akadeemiline Spordiklubi,mittetulundusühingud,
Keskvalitsus,Haridus- ja Teadusministeerium,80087452,mittetulundusühing Tartu Üliõpilasmaja,mittetulundusühingud,
Muu avalik sektor,Haridus- ja Teadusministeerium,80131259,Mittetulundusühing TTÜ ÜLIÕPILASKÜLA,mittetulundusühingud,
Keskvalitsus,Haridus- ja Teadusministeerium,80139321,Rektorite Nõukogu,mittetulundusühingud,
Muu avalik sektor,Haridus- ja Teadusministeerium,80255108,Mittetulundusühing Dormitorium,mittetulundusühingud,
Keskvalitsus,Haridus- ja Teadusministeerium,80277715,Mittetulundusühing Tallinna Ülikooli Spordiklubi,mittetulundusühingud,
Keskvalitsus,Haridus- ja Teadusministeerium,80567229,Mittetulundusühing Tartu Välismaalaste Teenuskeskus,mittetulundusühingud,
Keskvalitsus,Sotsiaalministeerium,90000145,SIHTASUTUS EESTI PUUETEGA INIMESTE FOND,sihtasutused,
Keskvalitsus,Regionaal- ja Põllumajandusministeerium,90000245,Maaelu Edendamise Sihtasutus,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90000357,SIHTASUTUS EESTI FILMI INSTITUUT,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90000618,Sihtasutus Sakala Teatrimaja,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90000759,Sihtasutus Eesti Teadusagentuur,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90000788,Integratsiooni Sihtasutus,sihtasutused,
Muu avalik sektor,Majandus- ja Kommunikatsiooniministeerium,90001121,Sihtasutus Tartu Teaduspark,sihtasutused,
Muu avalik sektor,Haridus- ja Teadusministeerium,90001196,SIHTASUTUS JÄRVSELJA ÕPPE- JA KATSEMETSKOND,sihtasutused,
Keskvalitsus,Sotsiaalministeerium,90001478,sihtasutus Tartu Ülikooli Kliinikum,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90003278,Sihtasutus Virumaa Muuseumid,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90003491,Sihtasutus Rakvere Teatrimaja,sihtasutused,
Keskvalitsus,Sotsiaalministeerium,90003781,Sihtasutus Hea Hoog,sihtasutused,
