Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
KOV,Pärnu Linnavalitsus,75014310,Jõõpre Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Pärnu Linnavalitsus,75014327,Lindi Lasteaed-Algkool,valla või linna ametiasutuste hallatav asutus,
KOV,Keila Linnavalitsus,75014468,Keila Sotsiaalkeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Keila Linnavalitsus,75014474,Lasteaed Miki,valla või linna ametiasutuste hallatav asutus,
KOV,Keila Linnavalitsus,75014497,Keila Lasteaed Vikerkaar,valla või linna ametiasutuste hallatav asutus,
KOV,Keila Linnavalitsus,75014511,Keila Muusikakool,valla või linna ametiasutuste hallatav asutus,
KOV,Keila Linnavalitsus,75014534,Keila Kultuurikeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Keila Linnavalitsus,75014540,Harju Maakonnaraamatukogu,valla või linna ametiasutuste hallatav asutus,
KOV,Saue Vallavalitsus,75014557,Saue Sotsiaalkeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Saue Vallavalitsus,75014572,Saue Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Saue Vallavalitsus,75014586,Saue lasteaed Midrimaa,valla või linna ametiasutuste hallatav asutus,
KOV,Saue Vallavalitsus,75014592,Saue Muusikakool,valla või linna ametiasutuste hallatav asutus,
KOV,Põhja-Sakala Vallavalitsus,75014652,Kõpu Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Pärnu Linnavalitsus,75014669,Pärnu Päikese Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Lääne-Nigula Vallavalitsus,75014675,Pürksi Kultuurimaja,valla või linna ametiasutuste hallatav asutus,
KOV,Peipsiääre Vallavalitsus,75014787,Anna Haava nimeline Pala Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Elva Vallavalitsus,75014830,Elva Linna Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75014853,Tallinna Perekonnaseisuamet,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75014882,Nõmme Linnaosa Valitsus,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75014899,Mustamäe Päevakeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75014913,Tallinna Keskkonna- ja Kommunaalamet,valla või linna ametiasutus,
KOV,Peipsiääre Vallavalitsus,75014936,Alatskivi Kunstide Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75014942,Tallinna Linnaarhiiv,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75014965,Tallinna Sotsiaal- ja Tervishoiuamet,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75015031,Tallinna Linnavolikogu Kantselei,valla või linna ametiasutus,
