Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
MANUAL_IMPORT,Kambja Vallavalitsus,75009544,Kambja Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kanepi Vallavalitsus,75011754,Kanepi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kareda Vallavalitsus,75013196,Kareda Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Karksi Vallavalitsus,75006397,Karksi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Karula Vallavalitsus,75001678,Karula Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kasepää Vallavalitsus,75022686,Kasepää Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kehtna Vallavalitsus,75021729,Kehtna Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Keila Vallavalitsus,75025710,Keila Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kernu Vallavalitsus,75011381,Kernu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kihelkonna Vallavalitsus,75022060,Kihelkonna Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Koeru Vallavalitsus,75004027,Koeru Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kohtla-Nõmme Vallavalitsus,75022114,Kohtla-Nõmme Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kohtla Vallavalitsus,75004033,Kohtla Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Koigi Vallavalitsus,75015640,Koigi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kolga-Jaani Vallavalitsus,75012274,Kolga-Jaani Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Konguta Vallavalitsus,75023591,Konguta Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Koonga Vallavalitsus,75003482,Koonga Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Koosa Osavallavalitsus,75009088,Koosa Osavallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kullamaa Vallavalitsus,75026431,Kullamaa Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kuusalu Vallavalitsus,75022568,Kuusalu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kõlleste Vallavalitsus,75008539,Kõlleste Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kõo Vallavalitsus,75021971,Kõo Vallavalitsus,GOV_KOV,
